t,GDP,CONS,INV,INFL,UNEMP
1,99.99084269587337,59.99626284790709,20.000216464042285,0.020643902593806693,0.06935300262369196
2,99.99609189078174,59.999452657442966,20.001320167667554,0.019545564900837552,0.06994387845922159
3,99.99573615211594,59.99584411217205,20.000235880061204,0.01912289391931299,0.0676070482582549
4,99.96655933848636,59.9962266299757,20.00147512319573,0.01869053327164036,0.06874910681057006
5,99.95856270144131,59.99025484718113,19.99903937450957,0.01768337647796309,0.07131192605193626
6,99.95399677975286,59.9793583034744,19.999037338128197,0.017119611595314835,0.07000576213764442
7,99.94119114643549,59.974288658866286,19.998443936441735,0.015133720321011934,0.06736335399176248
8,99.93460701049334,59.978872192364115,19.999175650435063,0.01683443162277649,0.0694455778340568
9,99.8974145844456,59.98202797682548,20.00074220942367,0.016892265820861847,0.06538834291355136
10,99.89012878438452,59.9771168841598,20.001332862219794,0.01787555074509437,0.06635020361216237
11,99.86943169827461,59.981846979165795,20.001343641070367,0.018686936946962683,0.0654155504742619
12,99.87329383534448,59.981413425797435,20.000967297673885,0.01999294306455804,0.06683816860714566
13,99.88133046914892,59.97296937056191,19.99981543580018,0.019782625507976437,0.06761248230766483
14,99.84646226535965,59.977723023279324,19.997951856364296,0.018324077441903557,0.06927103218518914
15,99.83333801469539,59.979412896582566,19.999450457096376,0.01868115054795547,0.0665939152325229
16,99.82004011267918,59.97524102287466,19.999933228499263,0.018740741225490833,0.0683079795781128
17,99.82854631557586,59.980506665898524,19.999495965588068,0.01815518916133729,0.06472946093997262
18,99.81384909061671,59.96990325915086,19.998051177935206,0.019411760221103858,0.06476207034462413
19,99.81386875493844,59.96893151947046,19.997165695164956,0.01908535930788757,0.06639111490820856
20,99.79184968633739,59.96475991247758,19.995611190301,0.018502774707773565,0.07122622913031829
21,99.82872691230119,59.97647366424492,19.993455672949263,0.016875430674133024,0.0727025369694764
22,99.80969279981284,59.978210174107005,19.991201839953415,0.01783333486397182,0.07205888237765405
23,99.80148697447696,59.99525801881397,19.991475439193987,0.01656608204347722,0.06980773439759974
24,99.82568638224036,59.98932937196912,19.993913787163002,0.015133294613317272,0.0697051754463829
25,99.80004979184402,59.99498927632014,19.995652576538433,0.01533175801534258,0.06853802547976583
26,99.7842357672844,59.992837785838525,19.993315735927375,0.014211235875952495,0.07045211816444719
27,99.77085828552106,59.99187296663126,19.995353555570507,0.014288469130482961,0.06993345844378882
28,99.79021509984403,59.99414151283432,19.99583294197302,0.01425802851278322,0.07233043752493917
29,99.82252264912063,59.979343172863466,19.998858662587754,0.014845878444960967,0.07118778876016262
30,99.83906838451223,59.97016231354039,19.99926118372715,0.015852082587272397,0.07011885293852282
31,99.79087115267156,59.97063984806696,19.99883479256193,0.017132273524694243,0.07156993462614855
32,99.83075458881844,59.97124083715913,20.000026804562335,0.017626733729797277,0.06999894745182615
33,99.8374652468682,59.98706383384173,19.999177559032795,0.018064340117980828,0.06952512979555374
34,99.85459289001342,59.98226305570409,20.00150663859172,0.017814264729355173,0.06874720418407378
35,99.84477466780358,59.984968325403436,20.000075358857444,0.018530694145292997,0.06713536975023371
36,99.84198509466536,59.99269995075586,20.002448991072246,0.018573058213017725,0.06572934262076256
37,99.84280931874967,59.99766187345069,20.00270036296696,0.018946535766329913,0.06783691277358572
38,99.80657420076302,59.99815851885819,20.00290757083199,0.018228223950074708,0.06855374943745578
39,99.79029445484262,59.99582845902167,20.00235225845785,0.019931031879968947,0.06595157219830333
40,99.7876281534222,60.00190458604003,20.003338011580045,0.01846141980210932,0.06578354965096864
41,99.75062159753917,60.00664475823637,20.004325002756296,0.017694946778744506,0.06327466333855603
42,99.75189463453188,60.00209425873382,20.00266881374502,0.017608424022792155,0.06504822846773611
43,99.74191724464413,59.99642084481762,20.0012410766078,0.01865378795128636,0.06266278225713032
44,99.72030214425216,60.000122859167476,20.00148509922975,0.019586234743392678,0.06291778705150634
45,99.70495539192298,60.00724002870945,19.99931532153447,0.01996669471175389,0.06189622338812842
46,99.72738160626302,60.00580126341496,19.999940815372078,0.01949759434758641,0.06196645394490603
47,99.73668878180638,60.0031085687575,19.99954995806775,0.02075502566592517,0.06153301727516007
48,99.78419565303197,60.00300543648158,19.997113851381005,0.01867634653142385,0.06396397189751368
49,99.77515147557602,59.996429006876106,19.99975473195173,0.01823033246367109,0.06263277982127656
50,99.78964231929238,59.99615263447694,20.00027070703296,0.018141829480991623,0.06070782655545706
51,99.76820117551478,60.000884634044674,20.00082475042763,0.017723211549765756,0.054744025030371235
52,99.75320841482595,59.99981554097216,20.00274488011771,0.01798220991391083,0.05797412108654035
53,99.71037890420067,59.99506339996927,20.00299758126833,0.016387994733821177,0.05762995145632755
54,99.71763196502357,59.99776780597536,20.004405363632657,0.014465090649087867,0.05479009736529967
55,99.71250962231372,59.99854258260001,20.002684712407955,0.013586475583822314,0.05355324599363372
56,99.72621721206296,60.00053205756915,20.004144572993226,0.013766062109789977,0.05863719720526143
57,99.71959179915295,60.00058938202656,20.004295869186468,0.01506407853004781,0.06326145490865316
58,99.72498305064686,60.0022697740709,20.006340475239348,0.014402090737724164,0.06224927915607775
59,99.66758133777607,60.0042277738423,20.00524320410506,0.015110386240602021,0.06189280079762953
60,99.64350421527438,60.00340137102597,20.004949114911273,0.014699428186131635,0.06126192860314824
61,99.6469549003209,60.004022405248996,20.004731948625277,0.014943140070792926,0.060900857547336845
62,99.64937162331633,60.00409185460678,20.003826976638454,0.013980437758301299,0.06037791735451203
63,99.63829185906866,60.010898882145604,20.00442606370261,0.012421924472519512,0.06124657091803276
64,99.63354697533326,60.01354885219641,20.00351296349596,0.012424004357828058,0.06146163469820268
65,99.60856012062459,60.01758433992042,20.00249608714153,0.011292968969181574,0.06057940390672146
66,99.61315556914737,60.00805181796021,20.005092647346434,0.011994416945672251,0.0589014475461097
67,99.61373809247924,60.0173230323498,20.00431893475454,0.01164461758959762,0.06157904163945477
68,99.63389950613559,60.0105694142887,20.00525731373063,0.012409432241658315,0.06161018494861707
69,99.64994660507469,60.00554807607575,20.008557949208527,0.011841565667670714,0.0592848468366805
70,99.65053569456681,59.99499597931734,20.007060944107014,0.010443436982667852,0.06042852745653996
71,99.68377686934713,59.997743087046125,20.00852437549013,0.009543789594195669,0.061316407249853315
72,99.6809214725516,60.012253303389095,20.010591588261626,0.008901743123440442,0.060880259271783
73,99.6413776872463,60.01793257927525,20.013673911314946,0.009098468973691943,0.06221352220792957
74,99.62919066334828,60.02150644144071,20.013086307897616,0.009907925267022066,0.05984092262075402
75,99.62200667145089,60.017181207429864,20.01422611716127,0.007357347677177776,0.06348861135600255
76,99.66532182275824,60.01496802419364,20.011479174237365,0.009367739255556085,0.06384208916435787
77,99.65979731426225,60.013970498232126,20.011403307660395,0.010719557236592622,0.06346637408132531
78,99.66168856822418,60.01693496420831,20.01190872830769,0.009536032967573538,0.06372185367920853
79,99.63751502756428,60.02181297577008,20.010756700788637,0.009410136728568354,0.06427706251430058
80,99.59715516314806,60.01585406166356,20.01003327209995,0.009205880979025515,0.06474672259365151
81,99.60947646239595,60.02391778583581,20.01089116719208,0.009504240414833798,0.0631798087049136
82,99.61648815726677,60.029708264562636,20.011194735905725,0.010287335506841026,0.06741920221437492
83,99.58016514199068,60.027962078091875,20.01205393606146,0.012930595533702616,0.06466768522167507
84,99.5760532323699,60.03255262247857,20.013752431386113,0.010901032956590069,0.06309576724891029
85,99.57735715230547,60.02501018113332,20.012314930608728,0.013137088295013158,0.06302052640788999
86,99.59139441590926,60.02471623813737,20.013810057476793,0.012285117953438816,0.06360049425781637
87,99.65742582387323,60.022571452747066,20.016888474537843,0.01112076313895766,0.06741172224764182
88,99.6514857649484,60.0262581436488,20.01708703321779,0.01240506284148759,0.06747911540149944
89,99.63124569296188,60.01397102056847,20.01896756840872,0.010657227844146121,0.06507879584754059
90,99.61673290739121,60.00910479070202,20.018683972088297,0.01080683441263614,0.06329512126715515
91,99.64369429883224,60.01082709857469,20.020133802612442,0.010371911626866667,0.0630970081362747
92,99.63510621425188,60.00188537369396,20.01812786526059,0.009437948756755772,0.06351737644039444
93,99.63642771301029,59.99970250497786,20.019487603565736,0.008762700489795019,0.06131201180605627
94,99.64245540878274,60.00629447364807,20.020025603409128,0.008101670111394964,0.06079553961321153
