t,GDP,CONS,INV,INFL,UNEMP,PROD_C,Gini_income,Gini_wealth,Debt_GDP
1,100.00488459013344,60.00406906992048,19.99906315298984,0.0188913268768746,0.0656663235777572,,,,
2,100.02431799896917,60.00416902050191,19.999392307722648,0.0179188187316002,0.0677909880184404,,,,
3,100.04318659787286,60.00343802642435,19.99850295321352,0.0173829391602257,0.0658547819934989,,,,
4,100.04371811030072,59.99974080826605,19.999439751119624,0.0168496411939647,0.0648175939556527,,,,
5,100.07447661154404,59.99538650994079,19.99693115597276,0.0170473599744325,0.0603377689630557,,,,
6,100.07976812226556,60.001276377876536,19.9970433228082,0.0168861614489843,0.0559348614137413,,,,
7,100.09088305508318,60.00365418386192,19.995168403612325,0.0186304705817407,0.0532071547051921,,,,
8,100.05726672404116,59.99278717544865,19.995209947025565,0.0187820371260704,0.0538230667535354,,,,
9,100.05051566057668,59.98791171148466,19.996558047405816,0.0176966313682479,0.0511342710078081,,,,
10,100.07855613160388,59.98897692587995,19.99731198146584,0.0181455057592099,0.0497350054347704,,,,
11,100.06789050795916,59.992819709860406,19.99632467222075,0.0183000713930625,0.0493074113017404,,,,
12,100.04398886170236,59.99861736057739,19.99426207220729,0.0183500341236617,0.0491948436034213,,,,
13,100.06933222940538,59.99189976404017,19.993393206830667,0.0180662272376182,0.0493105635123704,,,,
14,100.08671341469412,59.993766103521125,19.993432970622305,0.0189139027550953,0.0532561377802312,,,,
15,100.059579405421,59.99373162758359,19.99464799536968,0.0188105063834608,0.055859132625432,,,,
16,100.05289197517,59.98764824112295,19.9960404398193,0.0158495016596522,0.0546283193679212,,,,
17,100.10023859667504,59.98780567024194,19.99661274926836,0.0147394005651748,0.0543088040507206,,,,
18,100.0973917690732,59.99895342272951,19.99499689123234,0.0118302429132576,0.0548505622787485,,,,
19,100.1284222770204,59.99482150147349,19.99207997406725,0.0106391186366263,0.0554434487480742,,,,
20,100.11716266312668,59.995075742092055,19.98830944128196,0.0100123644137268,0.0567427640097108,,,,
21,100.11186325431628,59.988931992692,19.98999154493103,0.0108992192576336,0.0555282399006208,,,,
22,100.0970099997932,59.99659894894936,19.989112099704137,0.0106268647172762,0.0588525329294334,,,,
23,100.1007508298696,59.993626594519554,19.98595156043364,0.0105560025444107,0.0583850893982021,,,,
24,100.08826143038988,59.999179286896,19.983886749977135,0.0088675661265653,0.0565168348476909,,,,
25,100.08717223673035,59.98999977441349,19.981954435233355,0.007900777154335,0.0560518799263724,,,,
26,100.07175545608276,59.99543760665834,19.97829648633072,0.0081423646272656,0.0544061880758901,,,,
27,100.07922397029114,60.00673735545038,19.978035638444307,0.0081640423477552,0.0556180923658734,,,,
28,100.05078549221976,60.010147896933866,19.979190137474923,0.0078538390549512,0.0564625430264136,,,,
29,100.05152414396858,60.0050195939989,19.976943132756087,0.0086652451060967,0.0595594690365373,,,,
30,100.03397868807092,60.00668970297201,19.974860415821915,0.008019640338702,0.0580946601512202,,,,
31,100.0094401385303,60.00572414237829,19.97630837883066,0.0084149932159477,0.0566030633201429,,,,
32,100.03623717486082,60.0065474897143,19.979059536969377,0.0069452567623718,0.062199136925464,,,,
33,100.03116341292278,59.99899321588384,19.97723360069712,0.0077335574511695,0.0635493606185694,,,,
34,100.04593707466692,60.0022042012549,19.975315144893155,0.0074398901186565,0.0584622864333567,,,,
35,100.02701626406127,60.00580496890196,19.9722031030009,0.0096736930414915,0.0605729186756905,,,,
36,100.00282532562431,60.00978319820565,19.972994815527667,0.0093789307701754,0.0613327575056433,,,,
37,99.99633948662928,60.00933075484488,19.97378590610332,0.009714776969034,0.0616090635181937,,,,
38,100.00259154517909,60.014959694736845,19.97500534570563,0.0084113172772307,0.0597524608939685,,,,
39,100.03155319960344,60.02426899515781,19.975880272013327,0.0080450793258082,0.0610839791659008,,,,
40,100.0451079592179,60.01496449765361,19.97598582177266,0.0065628973241382,0.0598576585439237,,,,
41,100.04573961538657,60.02528927156851,19.97260349545504,0.0061408615098597,0.0609233468180206,,,,
42,100.05909308011522,60.03039738461016,19.97101581117492,0.0059502288681136,0.0596936055402924,,,,
43,100.0853139404632,60.02957021501323,19.971044668625854,0.0060817731543426,0.0567762392440794,,,,
44,100.09567473968816,60.02293463536585,19.971337294263744,0.0052954785485233,0.0588889275641059,,,,
45,100.09643345843136,60.03452473641842,19.967768014291774,0.0066148622962427,0.0603144656591942,,,,
